Job:  minatar-freeway-N1 (44484564)
Node: holygpu8a11202.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-freeway' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=1 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Freeway env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-freeway/eval_R': 1.3799999952316284, 'steps': 0}
{'sec': 0.3500499725341797, 'minatar-freeway/eval_R': 4.360000133514404, 'steps': 524288}
{'sec': 0.6948161125183105, 'minatar-freeway/eval_R': 8.579999923706055, 'steps': 1048576}
{'sec': 1.0395708084106445, 'minatar-freeway/eval_R': 14.929999351501465, 'steps': 1572864}
{'sec': 1.384746789932251, 'minatar-freeway/eval_R': 19.09000015258789, 'steps': 2097152}
{'sec': 1.7294538021087646, 'minatar-freeway/eval_R': 22.1299991607666, 'steps': 2621440}
{'sec': 2.075538158416748, 'minatar-freeway/eval_R': 24.619998931884766, 'steps': 3145728}
{'sec': 2.4210331439971924, 'minatar-freeway/eval_R': 28.010000228881836, 'steps': 3670016}
{'sec': 2.7659335136413574, 'minatar-freeway/eval_R': 30.760000228881836, 'steps': 4194304}
{'sec': 3.1113405227661133, 'minatar-freeway/eval_R': 32.869998931884766, 'steps': 4718592}
{'sec': 3.4562692642211914, 'minatar-freeway/eval_R': 35.61000061035156, 'steps': 5242880}
{'sec': 3.8009142875671387, 'minatar-freeway/eval_R': 38.959999084472656, 'steps': 5767168}
{'sec': 4.14607048034668, 'minatar-freeway/eval_R': 41.73999786376953, 'steps': 6291456}
{'sec': 4.4933555126190186, 'minatar-freeway/eval_R': 42.79999923706055, 'steps': 6815744}
{'sec': 4.8391008377075195, 'minatar-freeway/eval_R': 45.21999740600586, 'steps': 7340032}
{'sec': 5.184325456619263, 'minatar-freeway/eval_R': 48.0099983215332, 'steps': 7864320}
{'sec': 5.529156684875488, 'minatar-freeway/eval_R': 50.369998931884766, 'steps': 8388608}
{'sec': 5.874370574951172, 'minatar-freeway/eval_R': 51.29999923706055, 'steps': 8912896}
{'sec': 6.219236850738525, 'minatar-freeway/eval_R': 52.52000045776367, 'steps': 9437184}
{'sec': 6.564047336578369, 'minatar-freeway/eval_R': 52.90999984741211, 'steps': 9961472}
{'sec': 6.909616708755493, 'minatar-freeway/eval_R': 53.189998626708984, 'steps': 10485760}
{'sec': 7.254215955734253, 'minatar-freeway/eval_R': 54.79999923706055, 'steps': 11010048}
{'sec': 7.599415063858032, 'minatar-freeway/eval_R': 55.44999694824219, 'steps': 11534336}
{'sec': 7.944352388381958, 'minatar-freeway/eval_R': 56.04999923706055, 'steps': 12058624}
{'sec': 8.289044857025146, 'minatar-freeway/eval_R': 57.38999938964844, 'steps': 12582912}
{'sec': 8.634184837341309, 'minatar-freeway/eval_R': 57.88999938964844, 'steps': 13107200}
{'sec': 8.979066133499146, 'minatar-freeway/eval_R': 58.89999771118164, 'steps': 13631488}
{'sec': 9.324085235595703, 'minatar-freeway/eval_R': 59.72999954223633, 'steps': 14155776}
{'sec': 9.668997764587402, 'minatar-freeway/eval_R': 60.54999923706055, 'steps': 14680064}
{'sec': 10.014882564544678, 'minatar-freeway/eval_R': 60.2599983215332, 'steps': 15204352}
{'sec': 10.359975814819336, 'minatar-freeway/eval_R': 60.97999954223633, 'steps': 15728640}
{'sec': 10.70447826385498, 'minatar-freeway/eval_R': 62.15999984741211, 'steps': 16252928}
{'sec': 11.049030542373657, 'minatar-freeway/eval_R': 61.75, 'steps': 16777216}
{'sec': 11.394137144088745, 'minatar-freeway/eval_R': 62.07999801635742, 'steps': 17301504}
{'sec': 11.738853931427002, 'minatar-freeway/eval_R': 62.68000030517578, 'steps': 17825792}
{'sec': 12.083532333374023, 'minatar-freeway/eval_R': 62.68000030517578, 'steps': 18350080}
{'sec': 12.428691864013672, 'minatar-freeway/eval_R': 63.41999816894531, 'steps': 18874368}
{'sec': 12.773284196853638, 'minatar-freeway/eval_R': 63.19999694824219, 'steps': 19398656}
{'sec': 13.11920428276062, 'minatar-freeway/eval_R': 63.14999771118164, 'steps': 19922944}
{'sec': 13.464154243469238, 'minatar-freeway/eval_R': 63.78999710083008, 'steps': 20447232}
{'sec': 13.808462142944336, 'minatar-freeway/eval_R': 63.69999694824219, 'steps': 20971520}
{'sec': 14.153478622436523, 'minatar-freeway/eval_R': 63.68000030517578, 'steps': 21495808}
{'sec': 14.498109817504883, 'minatar-freeway/eval_R': 63.68000030517578, 'steps': 22020096}
{'sec': 14.843113899230957, 'minatar-freeway/eval_R': 63.69999694824219, 'steps': 22544384}
{'sec': 15.187958478927612, 'minatar-freeway/eval_R': 64.43999481201172, 'steps': 23068672}
{'sec': 15.532681941986084, 'minatar-freeway/eval_R': 64.61000061035156, 'steps': 23592960}
{'sec': 15.877763032913208, 'minatar-freeway/eval_R': 64.38999938964844, 'steps': 24117248}
{'sec': 16.223609447479248, 'minatar-freeway/eval_R': 64.54999542236328, 'steps': 24641536}
{'sec': 16.568531274795532, 'minatar-freeway/eval_R': 65.19999694824219, 'steps': 25165824}
{'sec': 16.913732051849365, 'minatar-freeway/eval_R': 65.01000213623047, 'steps': 25690112}
{'sec': 17.25847029685974, 'minatar-freeway/eval_R': 65.22999572753906, 'steps': 26214400}
{'sec': 17.60344910621643, 'minatar-freeway/eval_R': 65.1199951171875, 'steps': 26738688}
{'sec': 17.949035167694092, 'minatar-freeway/eval_R': 65.15999603271484, 'steps': 27262976}
{'sec': 18.293798685073853, 'minatar-freeway/eval_R': 65.29999542236328, 'steps': 27787264}
{'sec': 18.638938188552856, 'minatar-freeway/eval_R': 65.77999877929688, 'steps': 28311552}
{'sec': 18.983911514282227, 'minatar-freeway/eval_R': 65.5199966430664, 'steps': 28835840}
{'sec': 19.331742525100708, 'minatar-freeway/eval_R': 65.97000122070312, 'steps': 29360128}
{'sec': 19.677070140838623, 'minatar-freeway/eval_R': 65.7699966430664, 'steps': 29884416}
{'sec': 20.02153182029724, 'minatar-freeway/eval_R': 65.90999603271484, 'steps': 30408704}
{'sec': 20.366808652877808, 'minatar-freeway/eval_R': 65.83999633789062, 'steps': 30932992}
{'sec': 20.711835384368896, 'minatar-freeway/eval_R': 65.5999984741211, 'steps': 31457280}
{'sec': 21.05677604675293, 'minatar-freeway/eval_R': 65.45999908447266, 'steps': 31981568}
{'sec': 21.40184712409973, 'minatar-freeway/eval_R': 65.94999694824219, 'steps': 32505856}
{'sec': 21.746697187423706, 'minatar-freeway/eval_R': 66.02999877929688, 'steps': 33030144}
{'sec': 22.091424465179443, 'minatar-freeway/eval_R': 65.37999725341797, 'steps': 33554432}
{'sec': 22.436540842056274, 'minatar-freeway/eval_R': 65.70999908447266, 'steps': 34078720}
{'sec': 22.782415866851807, 'minatar-freeway/eval_R': 65.83999633789062, 'steps': 34603008}
{'sec': 23.12757635116577, 'minatar-freeway/eval_R': 65.58999633789062, 'steps': 35127296}
{'sec': 23.472713708877563, 'minatar-freeway/eval_R': 66.26000213623047, 'steps': 35651584}
{'sec': 23.817525148391724, 'minatar-freeway/eval_R': 66.12999725341797, 'steps': 36175872}
