Job:  minatar-breakout-N5 (44484574)
Node: holygpu8a15304.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-breakout' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=5 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Breakout env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-breakout/eval_R': 0.5299999713897705, 'steps': 0}
{'sec': 0.7515840530395508, 'minatar-breakout/eval_R': 0.6699999570846558, 'steps': 2621440}
{'sec': 1.5002014636993408, 'minatar-breakout/eval_R': 1.0299999713897705, 'steps': 5242880}
{'sec': 2.248464584350586, 'minatar-breakout/eval_R': 1.5299999713897705, 'steps': 7864320}
{'sec': 2.9974899291992188, 'minatar-breakout/eval_R': 1.71999990940094, 'steps': 10485760}
{'sec': 3.746229410171509, 'minatar-breakout/eval_R': 2.2100000381469727, 'steps': 13107200}
{'sec': 4.495547294616699, 'minatar-breakout/eval_R': 2.379999876022339, 'steps': 15728640}
{'sec': 5.244690895080566, 'minatar-breakout/eval_R': 2.5399999618530273, 'steps': 18350080}
{'sec': 5.993591547012329, 'minatar-breakout/eval_R': 2.7799999713897705, 'steps': 20971520}
{'sec': 6.741305828094482, 'minatar-breakout/eval_R': 2.929999828338623, 'steps': 23592960}
{'sec': 7.489356994628906, 'minatar-breakout/eval_R': 3.359999895095825, 'steps': 26214400}
{'sec': 8.23755693435669, 'minatar-breakout/eval_R': 3.419999837875366, 'steps': 28835840}
{'sec': 8.986165761947632, 'minatar-breakout/eval_R': 3.819999933242798, 'steps': 31457280}
{'sec': 9.734514236450195, 'minatar-breakout/eval_R': 3.93999981880188, 'steps': 34078720}
{'sec': 10.482110261917114, 'minatar-breakout/eval_R': 4.299999713897705, 'steps': 36700160}
{'sec': 11.232159852981567, 'minatar-breakout/eval_R': 4.059999942779541, 'steps': 39321600}
{'sec': 11.981077909469604, 'minatar-breakout/eval_R': 4.670000076293945, 'steps': 41943040}
{'sec': 12.72852087020874, 'minatar-breakout/eval_R': 5.170000076293945, 'steps': 44564480}
{'sec': 13.477856874465942, 'minatar-breakout/eval_R': 5.309999942779541, 'steps': 47185920}
{'sec': 14.22623085975647, 'minatar-breakout/eval_R': 5.5, 'steps': 49807360}
{'sec': 14.974185943603516, 'minatar-breakout/eval_R': 5.710000038146973, 'steps': 52428800}
{'sec': 15.723858833312988, 'minatar-breakout/eval_R': 5.650000095367432, 'steps': 55050240}
{'sec': 16.47214436531067, 'minatar-breakout/eval_R': 6.349999904632568, 'steps': 57671680}
{'sec': 17.219478130340576, 'minatar-breakout/eval_R': 7.409999847412109, 'steps': 60293120}
{'sec': 17.9679594039917, 'minatar-breakout/eval_R': 6.589999675750732, 'steps': 62914560}
{'sec': 18.71643829345703, 'minatar-breakout/eval_R': 6.869999885559082, 'steps': 65536000}
{'sec': 19.46527361869812, 'minatar-breakout/eval_R': 8.309999465942383, 'steps': 68157440}
{'sec': 20.214168071746826, 'minatar-breakout/eval_R': 8.0, 'steps': 70778880}
{'sec': 20.963372230529785, 'minatar-breakout/eval_R': 9.309999465942383, 'steps': 73400320}
{'sec': 21.711419582366943, 'minatar-breakout/eval_R': 9.279999732971191, 'steps': 76021760}
{'sec': 22.460652112960815, 'minatar-breakout/eval_R': 9.029999732971191, 'steps': 78643200}
{'sec': 23.208307027816772, 'minatar-breakout/eval_R': 10.300000190734863, 'steps': 81264640}
{'sec': 23.957521438598633, 'minatar-breakout/eval_R': 9.710000038146973, 'steps': 83886080}
{'sec': 24.70667314529419, 'minatar-breakout/eval_R': 10.34999942779541, 'steps': 86507520}
{'sec': 25.454702377319336, 'minatar-breakout/eval_R': 10.1899995803833, 'steps': 89128960}
{'sec': 26.203434467315674, 'minatar-breakout/eval_R': 10.760000228881836, 'steps': 91750400}
{'sec': 26.952848434448242, 'minatar-breakout/eval_R': 11.109999656677246, 'steps': 94371840}
{'sec': 27.701183557510376, 'minatar-breakout/eval_R': 10.619999885559082, 'steps': 96993280}
{'sec': 28.449310541152954, 'minatar-breakout/eval_R': 11.329999923706055, 'steps': 99614720}
{'sec': 29.198992013931274, 'minatar-breakout/eval_R': 10.679999351501465, 'steps': 102236160}
{'sec': 29.94727087020874, 'minatar-breakout/eval_R': 12.170000076293945, 'steps': 104857600}
{'sec': 30.694685697555542, 'minatar-breakout/eval_R': 12.619999885559082, 'steps': 107479040}
{'sec': 31.443238496780396, 'minatar-breakout/eval_R': 12.460000038146973, 'steps': 110100480}
{'sec': 32.19084072113037, 'minatar-breakout/eval_R': 12.149999618530273, 'steps': 112721920}
{'sec': 32.938958168029785, 'minatar-breakout/eval_R': 13.319999694824219, 'steps': 115343360}
{'sec': 33.68714237213135, 'minatar-breakout/eval_R': 12.619999885559082, 'steps': 117964800}
{'sec': 34.43654441833496, 'minatar-breakout/eval_R': 12.40999984741211, 'steps': 120586240}
{'sec': 35.1855149269104, 'minatar-breakout/eval_R': 13.889999389648438, 'steps': 123207680}
{'sec': 35.93373703956604, 'minatar-breakout/eval_R': 12.729999542236328, 'steps': 125829120}
{'sec': 36.681142807006836, 'minatar-breakout/eval_R': 13.960000038146973, 'steps': 128450560}
{'sec': 37.429587841033936, 'minatar-breakout/eval_R': 13.09000015258789, 'steps': 131072000}
{'sec': 38.177772998809814, 'minatar-breakout/eval_R': 13.779999732971191, 'steps': 133693440}
{'sec': 38.926292181015015, 'minatar-breakout/eval_R': 14.279999732971191, 'steps': 136314880}
{'sec': 39.67516469955444, 'minatar-breakout/eval_R': 14.50999927520752, 'steps': 138936320}
{'sec': 40.425654888153076, 'minatar-breakout/eval_R': 15.00999927520752, 'steps': 141557760}
{'sec': 41.17389988899231, 'minatar-breakout/eval_R': 16.18000030517578, 'steps': 144179200}
{'sec': 41.921924352645874, 'minatar-breakout/eval_R': 15.299999237060547, 'steps': 146800640}
{'sec': 42.669392108917236, 'minatar-breakout/eval_R': 15.25999927520752, 'steps': 149422080}
{'sec': 43.41789245605469, 'minatar-breakout/eval_R': 14.319999694824219, 'steps': 152043520}
{'sec': 44.165926456451416, 'minatar-breakout/eval_R': 14.920000076293945, 'steps': 154664960}
{'sec': 44.91352725028992, 'minatar-breakout/eval_R': 14.90999984741211, 'steps': 157286400}
{'sec': 45.662142515182495, 'minatar-breakout/eval_R': 14.489999771118164, 'steps': 159907840}
{'sec': 46.41081404685974, 'minatar-breakout/eval_R': 15.699999809265137, 'steps': 162529280}
{'sec': 47.16079020500183, 'minatar-breakout/eval_R': 15.6899995803833, 'steps': 165150720}
{'sec': 47.90924263000488, 'minatar-breakout/eval_R': 15.329999923706055, 'steps': 167772160}
{'sec': 48.65935134887695, 'minatar-breakout/eval_R': 14.139999389648438, 'steps': 170393600}
{'sec': 49.40674018859863, 'minatar-breakout/eval_R': 14.920000076293945, 'steps': 173015040}
{'sec': 50.156702756881714, 'minatar-breakout/eval_R': 17.10999870300293, 'steps': 175636480}
{'sec': 50.90496277809143, 'minatar-breakout/eval_R': 14.5, 'steps': 178257920}
{'sec': 51.653727293014526, 'minatar-breakout/eval_R': 15.9399995803833, 'steps': 180879360}
{'sec': 52.40111255645752, 'minatar-breakout/eval_R': 16.15999984741211, 'steps': 183500800}
{'sec': 53.15023636817932, 'minatar-breakout/eval_R': 15.219999313354492, 'steps': 186122240}
{'sec': 53.89910531044006, 'minatar-breakout/eval_R': 15.960000038146973, 'steps': 188743680}
{'sec': 54.64887571334839, 'minatar-breakout/eval_R': 16.670000076293945, 'steps': 191365120}
{'sec': 55.396591663360596, 'minatar-breakout/eval_R': 15.25999927520752, 'steps': 193986560}
