Job:  minatar-freeway-N4 (44484567)
Node: holygpu8a11504.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-freeway' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=4 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Freeway env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-freeway/eval_R': 1.4199999570846558, 'steps': 0}
{'sec': 0.7835550308227539, 'minatar-freeway/eval_R': 2.1399998664855957, 'steps': 2097152}
{'sec': 1.5614376068115234, 'minatar-freeway/eval_R': 3.319999933242798, 'steps': 4194304}
{'sec': 2.341524124145508, 'minatar-freeway/eval_R': 4.920000076293945, 'steps': 6291456}
{'sec': 3.121419668197632, 'minatar-freeway/eval_R': 6.960000038146973, 'steps': 8388608}
{'sec': 3.8999075889587402, 'minatar-freeway/eval_R': 8.559999465942383, 'steps': 10485760}
{'sec': 4.678482532501221, 'minatar-freeway/eval_R': 11.119999885559082, 'steps': 12582912}
{'sec': 5.456068277359009, 'minatar-freeway/eval_R': 13.219999313354492, 'steps': 14680064}
{'sec': 6.235057830810547, 'minatar-freeway/eval_R': 15.779999732971191, 'steps': 16777216}
{'sec': 7.013620138168335, 'minatar-freeway/eval_R': 18.43000030517578, 'steps': 18874368}
{'sec': 7.791820049285889, 'minatar-freeway/eval_R': 19.939998626708984, 'steps': 20971520}
{'sec': 8.570186853408813, 'minatar-freeway/eval_R': 22.81999969482422, 'steps': 23068672}
{'sec': 9.348120927810669, 'minatar-freeway/eval_R': 24.15999984741211, 'steps': 25165824}
{'sec': 10.126522302627563, 'minatar-freeway/eval_R': 26.51999855041504, 'steps': 27262976}
{'sec': 10.907467365264893, 'minatar-freeway/eval_R': 28.59000015258789, 'steps': 29360128}
{'sec': 11.685394287109375, 'minatar-freeway/eval_R': 29.369998931884766, 'steps': 31457280}
{'sec': 12.463505744934082, 'minatar-freeway/eval_R': 30.459999084472656, 'steps': 33554432}
{'sec': 13.241528034210205, 'minatar-freeway/eval_R': 32.80999755859375, 'steps': 35651584}
{'sec': 14.020126342773438, 'minatar-freeway/eval_R': 33.97999954223633, 'steps': 37748736}
{'sec': 14.798201322555542, 'minatar-freeway/eval_R': 36.029998779296875, 'steps': 39845888}
{'sec': 15.576576948165894, 'minatar-freeway/eval_R': 36.05999755859375, 'steps': 41943040}
