Job:  minatar-breakout-N1 (44484570)
Node: holygpu8a13503.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-breakout' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=1 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Breakout env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-breakout/eval_R': 0.699999988079071, 'steps': 0}
{'sec': 0.3009209632873535, 'minatar-breakout/eval_R': 0.9799999594688416, 'steps': 524288}
{'sec': 0.6005663871765137, 'minatar-breakout/eval_R': 1.809999942779541, 'steps': 1048576}
{'sec': 0.9002084732055664, 'minatar-breakout/eval_R': 2.299999952316284, 'steps': 1572864}
{'sec': 1.1998138427734375, 'minatar-breakout/eval_R': 2.5899999141693115, 'steps': 2097152}
{'sec': 1.4993939399719238, 'minatar-breakout/eval_R': 3.319999933242798, 'steps': 2621440}
{'sec': 1.800034761428833, 'minatar-breakout/eval_R': 3.9599997997283936, 'steps': 3145728}
{'sec': 2.0999245643615723, 'minatar-breakout/eval_R': 4.269999980926514, 'steps': 3670016}
{'sec': 2.399505853652954, 'minatar-breakout/eval_R': 5.369999885559082, 'steps': 4194304}
{'sec': 2.6990861892700195, 'minatar-breakout/eval_R': 5.849999904632568, 'steps': 4718592}
{'sec': 2.9987425804138184, 'minatar-breakout/eval_R': 6.690000057220459, 'steps': 5242880}
{'sec': 3.2984490394592285, 'minatar-breakout/eval_R': 7.529999732971191, 'steps': 5767168}
{'sec': 3.598196268081665, 'minatar-breakout/eval_R': 7.889999866485596, 'steps': 6291456}
