Job:  minatar-breakout-N3 (44484572)
Node: holygpu8a15203.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-breakout' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=3 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Breakout env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-breakout/eval_R': 0.4899999797344208, 'steps': 0}
{'sec': 0.5577120780944824, 'minatar-breakout/eval_R': 0.5299999713897705, 'steps': 1572864}
{'sec': 1.1115789413452148, 'minatar-breakout/eval_R': 0.7999999523162842, 'steps': 3145728}
{'sec': 1.6645102500915527, 'minatar-breakout/eval_R': 1.0199999809265137, 'steps': 4718592}
{'sec': 2.2177658081054688, 'minatar-breakout/eval_R': 1.6799999475479126, 'steps': 6291456}
{'sec': 2.7712762355804443, 'minatar-breakout/eval_R': 1.8199999332427979, 'steps': 7864320}
{'sec': 3.3253538608551025, 'minatar-breakout/eval_R': 2.509999990463257, 'steps': 9437184}
{'sec': 3.878568172454834, 'minatar-breakout/eval_R': 3.1999998092651367, 'steps': 11010048}
{'sec': 4.431632995605469, 'minatar-breakout/eval_R': 3.1499998569488525, 'steps': 12582912}
{'sec': 4.986516714096069, 'minatar-breakout/eval_R': 3.2100000381469727, 'steps': 14155776}
{'sec': 5.541381359100342, 'minatar-breakout/eval_R': 4.099999904632568, 'steps': 15728640}
{'sec': 6.094838619232178, 'minatar-breakout/eval_R': 4.170000076293945, 'steps': 17301504}
{'sec': 6.647843360900879, 'minatar-breakout/eval_R': 5.449999809265137, 'steps': 18874368}
{'sec': 7.201115131378174, 'minatar-breakout/eval_R': 4.989999771118164, 'steps': 20447232}
{'sec': 7.754333734512329, 'minatar-breakout/eval_R': 5.71999979019165, 'steps': 22020096}
{'sec': 8.307446479797363, 'minatar-breakout/eval_R': 6.069999694824219, 'steps': 23592960}
{'sec': 8.860956192016602, 'minatar-breakout/eval_R': 6.480000019073486, 'steps': 25165824}
{'sec': 9.4144127368927, 'minatar-breakout/eval_R': 7.589999675750732, 'steps': 26738688}
{'sec': 9.967544078826904, 'minatar-breakout/eval_R': 7.710000038146973, 'steps': 28311552}
{'sec': 10.522459268569946, 'minatar-breakout/eval_R': 7.869999885559082, 'steps': 29884416}
{'sec': 11.075913429260254, 'minatar-breakout/eval_R': 9.119999885559082, 'steps': 31457280}
{'sec': 11.629088878631592, 'minatar-breakout/eval_R': 9.029999732971191, 'steps': 33030144}
{'sec': 12.182323694229126, 'minatar-breakout/eval_R': 9.729999542236328, 'steps': 34603008}
{'sec': 12.73577356338501, 'minatar-breakout/eval_R': 10.389999389648438, 'steps': 36175872}
{'sec': 13.290089845657349, 'minatar-breakout/eval_R': 10.579999923706055, 'steps': 37748736}
{'sec': 13.843371152877808, 'minatar-breakout/eval_R': 11.109999656677246, 'steps': 39321600}
{'sec': 14.39696979522705, 'minatar-breakout/eval_R': 11.6899995803833, 'steps': 40894464}
{'sec': 14.95022702217102, 'minatar-breakout/eval_R': 11.989999771118164, 'steps': 42467328}
{'sec': 15.503666162490845, 'minatar-breakout/eval_R': 11.199999809265137, 'steps': 44040192}
{'sec': 16.058273553848267, 'minatar-breakout/eval_R': 12.609999656677246, 'steps': 45613056}
{'sec': 16.611871004104614, 'minatar-breakout/eval_R': 13.989999771118164, 'steps': 47185920}
{'sec': 17.165899991989136, 'minatar-breakout/eval_R': 14.809999465942383, 'steps': 48758784}
{'sec': 17.719329118728638, 'minatar-breakout/eval_R': 14.989999771118164, 'steps': 50331648}
{'sec': 18.272597312927246, 'minatar-breakout/eval_R': 16.010000228881836, 'steps': 51904512}
{'sec': 18.826505422592163, 'minatar-breakout/eval_R': 16.3799991607666, 'steps': 53477376}
{'sec': 19.37980079650879, 'minatar-breakout/eval_R': 14.019999504089355, 'steps': 55050240}
{'sec': 19.93353819847107, 'minatar-breakout/eval_R': 15.549999237060547, 'steps': 56623104}
{'sec': 20.487006187438965, 'minatar-breakout/eval_R': 17.489999771118164, 'steps': 58195968}
{'sec': 21.04031276702881, 'minatar-breakout/eval_R': 18.729999542236328, 'steps': 59768832}
{'sec': 21.594679355621338, 'minatar-breakout/eval_R': 17.600000381469727, 'steps': 61341696}
{'sec': 22.148266792297363, 'minatar-breakout/eval_R': 18.369998931884766, 'steps': 62914560}
{'sec': 22.701762676239014, 'minatar-breakout/eval_R': 19.69999885559082, 'steps': 64487424}
{'sec': 23.25509738922119, 'minatar-breakout/eval_R': 20.549999237060547, 'steps': 66060288}
{'sec': 23.80833649635315, 'minatar-breakout/eval_R': 20.59000015258789, 'steps': 67633152}
{'sec': 24.362031936645508, 'minatar-breakout/eval_R': 19.19999885559082, 'steps': 69206016}
{'sec': 24.915223360061646, 'minatar-breakout/eval_R': 21.649999618530273, 'steps': 70778880}
{'sec': 25.468652963638306, 'minatar-breakout/eval_R': 21.600000381469727, 'steps': 72351744}
{'sec': 26.022053241729736, 'minatar-breakout/eval_R': 21.43000030517578, 'steps': 73924608}
{'sec': 26.577189445495605, 'minatar-breakout/eval_R': 22.0, 'steps': 75497472}
{'sec': 27.131959199905396, 'minatar-breakout/eval_R': 20.100000381469727, 'steps': 77070336}
{'sec': 27.685568809509277, 'minatar-breakout/eval_R': 21.19999885559082, 'steps': 78643200}
{'sec': 28.2386691570282, 'minatar-breakout/eval_R': 24.029998779296875, 'steps': 80216064}
{'sec': 28.792035818099976, 'minatar-breakout/eval_R': 25.979999542236328, 'steps': 81788928}
{'sec': 29.34535813331604, 'minatar-breakout/eval_R': 22.549999237060547, 'steps': 83361792}
{'sec': 29.898665189743042, 'minatar-breakout/eval_R': 24.479999542236328, 'steps': 84934656}
{'sec': 30.451972484588623, 'minatar-breakout/eval_R': 29.219999313354492, 'steps': 86507520}
{'sec': 31.005375862121582, 'minatar-breakout/eval_R': 27.56999969482422, 'steps': 88080384}
{'sec': 31.55872631072998, 'minatar-breakout/eval_R': 27.599998474121094, 'steps': 89653248}
{'sec': 32.11225867271423, 'minatar-breakout/eval_R': 26.0, 'steps': 91226112}
{'sec': 32.66563963890076, 'minatar-breakout/eval_R': 29.760000228881836, 'steps': 92798976}
{'sec': 33.220261096954346, 'minatar-breakout/eval_R': 31.31999969482422, 'steps': 94371840}
{'sec': 33.77401924133301, 'minatar-breakout/eval_R': 31.510000228881836, 'steps': 95944704}
{'sec': 34.32724165916443, 'minatar-breakout/eval_R': 29.84000015258789, 'steps': 97517568}
{'sec': 34.880616664886475, 'minatar-breakout/eval_R': 32.709999084472656, 'steps': 99090432}
{'sec': 35.433918952941895, 'minatar-breakout/eval_R': 28.010000228881836, 'steps': 100663296}
{'sec': 35.98799443244934, 'minatar-breakout/eval_R': 34.95000076293945, 'steps': 102236160}
{'sec': 36.54142427444458, 'minatar-breakout/eval_R': 28.78999900817871, 'steps': 103809024}
{'sec': 37.09467792510986, 'minatar-breakout/eval_R': 29.69999885559082, 'steps': 105381888}
{'sec': 37.6483359336853, 'minatar-breakout/eval_R': 31.619998931884766, 'steps': 106954752}
{'sec': 38.201730489730835, 'minatar-breakout/eval_R': 29.729999542236328, 'steps': 108527616}
{'sec': 38.755025148391724, 'minatar-breakout/eval_R': 29.85999870300293, 'steps': 110100480}
