Job:  minatar-breakout-N2 (44484571)
Node: holygpu8a15202.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-breakout' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=2 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Breakout env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-breakout/eval_R': 0.6399999856948853, 'steps': 0}
{'sec': 0.4649641513824463, 'minatar-breakout/eval_R': 0.8700000047683716, 'steps': 1048576}
{'sec': 0.9261684417724609, 'minatar-breakout/eval_R': 1.0199999809265137, 'steps': 2097152}
{'sec': 1.3879034519195557, 'minatar-breakout/eval_R': 1.5799999237060547, 'steps': 3145728}
{'sec': 1.8497123718261719, 'minatar-breakout/eval_R': 1.9799998998641968, 'steps': 4194304}
{'sec': 2.3124582767486572, 'minatar-breakout/eval_R': 2.4800000190734863, 'steps': 5242880}
{'sec': 2.7755117416381836, 'minatar-breakout/eval_R': 3.240000009536743, 'steps': 6291456}
{'sec': 3.2370927333831787, 'minatar-breakout/eval_R': 4.049999713897705, 'steps': 7340032}
{'sec': 3.698528528213501, 'minatar-breakout/eval_R': 4.319999694824219, 'steps': 8388608}
{'sec': 4.160283803939819, 'minatar-breakout/eval_R': 4.299999713897705, 'steps': 9437184}
{'sec': 4.622169017791748, 'minatar-breakout/eval_R': 5.759999752044678, 'steps': 10485760}
{'sec': 5.0839385986328125, 'minatar-breakout/eval_R': 5.809999942779541, 'steps': 11534336}
