Job:  minatar-freeway-N2 (44484565)
Node: holygpu8a11401.rc.fas.harvard.edu
GPUs: 0
Cores per task: 2
Python path updated:
sys.path includes: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax
PYTHONPATH env var: /home/ubuntu/tensorflow_test/control/real-timeRL/realtime-atari-jax:
Config: env_name='minatar-freeway' seed=0 lr=0.0003 num_envs=4096 num_eval_envs=100 num_steps=128 plan_horizon=2 total_timesteps=500000000 frame_skip=1 update_epochs=3 minibatch_size=4096 gamma=0.99 gae_lambda=0.95 clip_eps=0.2 ent_coef=0.01 vf_coef=0.5 max_grad_norm=0.5 wandb_project='pgx-minatar-ppo' save_model=True gpu_id=0
Available JAX devices: [CudaDevice(id=0)]
Using device: cuda:0
Using custom Freeway env with frame skip
Starting training (Macro-PPO, AR head)...
{'sec': 0.0, 'minatar-freeway/eval_R': 1.4800000190734863, 'steps': 0}
{'sec': 0.5415849685668945, 'minatar-freeway/eval_R': 3.25, 'steps': 1048576}
{'sec': 1.0793054103851318, 'minatar-freeway/eval_R': 6.119999885559082, 'steps': 2097152}
{'sec': 1.6173596382141113, 'minatar-freeway/eval_R': 9.550000190734863, 'steps': 3145728}
{'sec': 2.156675338745117, 'minatar-freeway/eval_R': 12.25999927520752, 'steps': 4194304}
{'sec': 2.694683074951172, 'minatar-freeway/eval_R': 15.569999694824219, 'steps': 5242880}
{'sec': 3.232599973678589, 'minatar-freeway/eval_R': 18.65999984741211, 'steps': 6291456}
{'sec': 3.770463705062866, 'minatar-freeway/eval_R': 20.459999084472656, 'steps': 7340032}
{'sec': 4.308058023452759, 'minatar-freeway/eval_R': 23.0, 'steps': 8388608}
{'sec': 4.8462605476379395, 'minatar-freeway/eval_R': 25.719999313354492, 'steps': 9437184}
{'sec': 5.384626150131226, 'minatar-freeway/eval_R': 28.729999542236328, 'steps': 10485760}
{'sec': 5.922454833984375, 'minatar-freeway/eval_R': 30.689998626708984, 'steps': 11534336}
{'sec': 6.460158348083496, 'minatar-freeway/eval_R': 32.46999740600586, 'steps': 12582912}
{'sec': 6.998867750167847, 'minatar-freeway/eval_R': 34.099998474121094, 'steps': 13631488}
{'sec': 7.537069320678711, 'minatar-freeway/eval_R': 36.619998931884766, 'steps': 14680064}
{'sec': 8.074837446212769, 'minatar-freeway/eval_R': 39.0099983215332, 'steps': 15728640}
{'sec': 8.612683534622192, 'minatar-freeway/eval_R': 40.40999984741211, 'steps': 16777216}
{'sec': 9.152109861373901, 'minatar-freeway/eval_R': 42.48999786376953, 'steps': 17825792}
{'sec': 9.69037413597107, 'minatar-freeway/eval_R': 44.099998474121094, 'steps': 18874368}
{'sec': 10.228574991226196, 'minatar-freeway/eval_R': 45.29999923706055, 'steps': 19922944}
{'sec': 10.766236782073975, 'minatar-freeway/eval_R': 46.53999710083008, 'steps': 20971520}
{'sec': 11.304503679275513, 'minatar-freeway/eval_R': 48.37999725341797, 'steps': 22020096}
{'sec': 11.84209132194519, 'minatar-freeway/eval_R': 49.71999740600586, 'steps': 23068672}
{'sec': 12.379978895187378, 'minatar-freeway/eval_R': 51.209999084472656, 'steps': 24117248}
{'sec': 12.917855262756348, 'minatar-freeway/eval_R': 52.099998474121094, 'steps': 25165824}
{'sec': 13.455928564071655, 'minatar-freeway/eval_R': 52.869998931884766, 'steps': 26214400}
{'sec': 13.994104862213135, 'minatar-freeway/eval_R': 53.65999984741211, 'steps': 27262976}
{'sec': 14.533088684082031, 'minatar-freeway/eval_R': 53.80999755859375, 'steps': 28311552}
{'sec': 15.071053981781006, 'minatar-freeway/eval_R': 55.46999740600586, 'steps': 29360128}
{'sec': 15.609160661697388, 'minatar-freeway/eval_R': 56.32999801635742, 'steps': 30408704}
{'sec': 16.14649510383606, 'minatar-freeway/eval_R': 56.13999938964844, 'steps': 31457280}
{'sec': 16.68505573272705, 'minatar-freeway/eval_R': 56.689998626708984, 'steps': 32505856}
{'sec': 17.223650693893433, 'minatar-freeway/eval_R': 57.61000061035156, 'steps': 33554432}
{'sec': 17.76188325881958, 'minatar-freeway/eval_R': 57.57999801635742, 'steps': 34603008}
{'sec': 18.299835443496704, 'minatar-freeway/eval_R': 58.369998931884766, 'steps': 35651584}
{'sec': 18.8373703956604, 'minatar-freeway/eval_R': 59.29999923706055, 'steps': 36700160}
{'sec': 19.375133275985718, 'minatar-freeway/eval_R': 59.59000015258789, 'steps': 37748736}
{'sec': 19.913475275039673, 'minatar-freeway/eval_R': 59.529998779296875, 'steps': 38797312}
{'sec': 20.451990365982056, 'minatar-freeway/eval_R': 59.34000015258789, 'steps': 39845888}
{'sec': 20.99013376235962, 'minatar-freeway/eval_R': 60.34000015258789, 'steps': 40894464}
{'sec': 21.528006315231323, 'minatar-freeway/eval_R': 60.189998626708984, 'steps': 41943040}
{'sec': 22.065974235534668, 'minatar-freeway/eval_R': 60.8599967956543, 'steps': 42991616}
{'sec': 22.603767156600952, 'minatar-freeway/eval_R': 60.66999816894531, 'steps': 44040192}
{'sec': 23.14294672012329, 'minatar-freeway/eval_R': 61.40999984741211, 'steps': 45088768}
{'sec': 23.681468725204468, 'minatar-freeway/eval_R': 61.81999969482422, 'steps': 46137344}
{'sec': 24.22007179260254, 'minatar-freeway/eval_R': 61.32999801635742, 'steps': 47185920}
{'sec': 24.7581627368927, 'minatar-freeway/eval_R': 62.04999923706055, 'steps': 48234496}
{'sec': 25.296063899993896, 'minatar-freeway/eval_R': 62.1099967956543, 'steps': 49283072}
{'sec': 25.833950757980347, 'minatar-freeway/eval_R': 62.77000045776367, 'steps': 50331648}
{'sec': 26.372583389282227, 'minatar-freeway/eval_R': 62.18000030517578, 'steps': 51380224}
{'sec': 26.9103102684021, 'minatar-freeway/eval_R': 62.32999801635742, 'steps': 52428800}
{'sec': 27.44854736328125, 'minatar-freeway/eval_R': 62.37999725341797, 'steps': 53477376}
{'sec': 27.98640727996826, 'minatar-freeway/eval_R': 62.439998626708984, 'steps': 54525952}
{'sec': 28.524409294128418, 'minatar-freeway/eval_R': 62.8599967956543, 'steps': 55574528}
{'sec': 29.06203317642212, 'minatar-freeway/eval_R': 62.439998626708984, 'steps': 56623104}
{'sec': 29.600107192993164, 'minatar-freeway/eval_R': 62.89999771118164, 'steps': 57671680}
{'sec': 30.138595581054688, 'minatar-freeway/eval_R': 63.6099967956543, 'steps': 58720256}
{'sec': 30.67655849456787, 'minatar-freeway/eval_R': 63.23999786376953, 'steps': 59768832}
{'sec': 31.214868783950806, 'minatar-freeway/eval_R': 63.63999938964844, 'steps': 60817408}
{'sec': 31.752721071243286, 'minatar-freeway/eval_R': 63.53999710083008, 'steps': 61865984}
{'sec': 32.290542125701904, 'minatar-freeway/eval_R': 63.41999816894531, 'steps': 62914560}
{'sec': 32.828654766082764, 'minatar-freeway/eval_R': 63.349998474121094, 'steps': 63963136}
{'sec': 33.36673855781555, 'minatar-freeway/eval_R': 63.37999725341797, 'steps': 65011712}
{'sec': 33.90494346618652, 'minatar-freeway/eval_R': 63.459999084472656, 'steps': 66060288}
{'sec': 34.44215178489685, 'minatar-freeway/eval_R': 63.88999938964844, 'steps': 67108864}
{'sec': 34.98064684867859, 'minatar-freeway/eval_R': 63.849998474121094, 'steps': 68157440}
{'sec': 35.51817870140076, 'minatar-freeway/eval_R': 63.939998626708984, 'steps': 69206016}
{'sec': 36.05591177940369, 'minatar-freeway/eval_R': 64.31999969482422, 'steps': 70254592}
{'sec': 36.59361004829407, 'minatar-freeway/eval_R': 64.38999938964844, 'steps': 71303168}
{'sec': 37.131996393203735, 'minatar-freeway/eval_R': 63.97999954223633, 'steps': 72351744}
{'sec': 37.67094111442566, 'minatar-freeway/eval_R': 64.0, 'steps': 73400320}
{'sec': 38.20884943008423, 'minatar-freeway/eval_R': 64.38999938964844, 'steps': 74448896}
{'sec': 38.7464439868927, 'minatar-freeway/eval_R': 64.33000183105469, 'steps': 75497472}
{'sec': 39.28423190116882, 'minatar-freeway/eval_R': 64.38999938964844, 'steps': 76546048}
