state_index,episode,step,best_action,reward,done,action__minatar_space_invaders_seed_0,action__minatar_space_invaders_seed_0_steps_4980736,action__minatar_space_invaders_seed_0_steps_9961472,action__minatar_space_invaders_seed_0_steps_14942208,action__minatar_space_invaders_seed_0_steps_19922944,matching_models,matching_fraction,top_suffix_agree,category
84,0,42,2,1.0,False,2,2,2,2,2,5,1.0,5,all_models
85,1,42,1,0.0,False,1,1,3,1,1,4,0.8,2,top_2
86,0,43,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
87,1,43,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
88,0,44,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
89,1,44,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
90,0,45,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
91,1,45,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
92,0,46,3,1.0,False,3,2,3,3,3,4,0.8,3,top_3
93,1,46,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
94,0,47,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
95,1,47,3,0.0,False,3,2,3,3,3,4,0.8,3,top_3
96,0,48,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
97,1,48,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
98,0,49,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
99,1,49,3,0.0,False,3,2,2,3,3,3,0.6,2,top_2
100,0,50,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
101,1,50,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
102,0,51,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
103,1,51,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
104,0,52,1,0.0,False,1,2,1,2,1,3,0.6,1,best_only
105,1,52,2,1.0,False,2,2,2,2,2,5,1.0,5,all_models
106,0,53,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
107,1,53,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
108,0,54,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
109,1,54,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
110,0,55,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
111,1,55,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
112,0,56,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
113,1,56,1,1.0,False,1,1,1,1,1,5,1.0,5,all_models
114,0,57,3,0.0,False,3,2,2,2,3,2,0.4,1,best_only
115,1,57,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
116,0,58,3,0.0,False,3,2,2,3,3,3,0.6,2,top_2
117,1,58,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
118,0,59,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
119,1,59,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
120,0,60,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
121,1,60,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
122,0,61,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
123,1,61,0,1.0,False,0,3,3,0,0,3,0.6,2,top_2
124,0,62,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
125,1,62,1,0.0,False,1,3,3,0,1,2,0.4,1,best_only
126,0,63,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
127,1,63,1,0.0,False,1,1,1,1,1,5,1.0,5,all_models
128,0,64,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
129,1,64,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
130,0,65,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
131,1,65,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
132,0,66,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
133,1,66,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
134,0,67,0,0.0,False,0,3,3,0,0,3,0.6,2,top_2
135,1,67,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
136,0,68,1,0.0,False,1,3,2,1,1,3,0.6,2,top_2
137,1,68,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
138,0,69,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
139,1,69,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
140,0,70,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
141,1,70,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
142,0,71,1,1.0,False,1,2,2,2,1,2,0.4,1,best_only
143,1,71,0,0.0,False,0,3,3,2,0,2,0.4,1,best_only
144,0,72,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
145,1,72,2,0.0,False,2,3,3,0,2,2,0.4,1,best_only
146,0,73,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
147,1,73,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
148,0,74,2,0.0,False,2,2,2,2,2,5,1.0,5,all_models
149,1,74,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
150,0,75,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
151,1,75,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
152,0,76,3,0.0,False,3,2,2,3,3,3,0.6,2,top_2
153,1,76,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
154,0,77,3,1.0,False,3,3,3,3,3,5,1.0,5,all_models
155,1,77,3,0.0,False,3,3,3,3,3,5,1.0,5,all_models
